No;Filename;NNhuman;nnR;nnG;nnB;nnRB;nnRG;nnGB;nnRGB;nnRg;nnHSV;nnH;nnS;nnV;nnHS;nnHV;nnSV;nnLab;nnL;nna;nnb;nnLa;nnLb;nnab;nnLneg;nnaneg;nnbneg;nnXYZ;nnX;nnY;nnZ;nnXneg;nnYneg;nnZneg;YCbCr-Y;YCbCr-Cb;YCbCr-Cr;nnYCbCr-Yneg;YCbCr-Cbneg;YCbCr-Crnrg
37;M-11822-x40-11.tif;17;14;2;2;3;14;14;1;10;0;4;1;4;0;2;0;0;9;0;6;11;14;15;9;0;4;12;13;12;9;13;12;8;7;0;0;7;2;0
38;M-11830a-x40-02.tif;19;6;18;16;0;6;1;18;18;3;0;15;11;2;13;5;0;6;2;7;0;13;14;7;2;8;5;14;9;0;12;7;0;17;0;0;17;18;1
39;M-11830a-x40-03.tif;28;17;21;17;0;17;9;23;25;4;8;16;19;3;9;5;0;13;1;12;4;23;19;14;5;13;19;21;19;2;19;17;2;23;0;0;23;25;0
40;M-11830a-x40-04.tif;18;12;8;7;0;12;7;9;16;2;3;3;10;1;11;3;0;6;1;8;3;12;12;6;1;7;15;16;15;2;16;15;1;8;0;0;8;16;0
41;M-11830a-x40-05.tif;20;13;14;15;0;13;7;14;19;0;3;2;15;1;7;0;0;8;3;6;4;18;13;9;3;6;16;15;17;2;15;16;2;13;0;0;13;18;0
42;M-11830a-x40-06.tif;26;15;21;20;0;15;12;20;22;1;12;7;17;1;6;2;0;14;1;16;2;21;22;13;3;17;18;21;21;1;21;19;0;13;0;0;13;23;0
43;M-11830a-x40-11.tif;21;18;13;9;0;18;10;11;20;1;5;3;13;0;5;1;0;11;2;10;0;17;12;11;3;11;19;20;19;0;20;19;0;12;0;0;12;19;0
44;M-11897-x40-04.tif;12;8;7;12;0;8;0;8;12;0;0;8;10;1;9;2;0;9;0;12;0;12;11;10;1;12;11;12;12;0;11;11;0;12;0;0;12;12;0
45;M-11897-x40-05.tif;24;21;3;17;0;21;14;3;18;1;1;8;10;1;3;1;0;15;2;14;6;18;14;15;2;12;18;18;17;3;18;17;1;14;0;0;14;11;0
46;M-11897-x40-06.tif;18;12;5;11;1;12;11;8;14;0;1;11;6;2;4;2;0;14;2;12;3;15;13;13;4;12;15;15;15;2;15;15;1;12;0;0;12;14;0
47;M-11901b-x40-02.tif;18;15;2;10;3;15;13;3;15;0;1;2;5;1;3;0;0;5;0;5;8;9;2;4;1;4;12;14;8;8;14;8;5;5;0;0;5;4;0
48;M-11901b-x40-03.tif;24;18;3;8;0;18;14;4;23;1;0;1;13;0;8;0;0;6;0;7;3;19;3;7;1;1;20;20;14;1;20;12;1;5;0;2;5;13;0
49;M-11901b-x40-05.tif;38;32;0;17;0;32;23;3;33;0;1;2;15;0;15;0;0;9;0;7;1;20;0;8;0;4;33;35;30;2;34;30;1;4;0;0;4;21;0
50;M-11901b-x40-10.tif;25;24;1;4;1;24;21;3;21;0;0;0;7;0;5;2;0;14;1;8;12;18;0;14;0;5;13;21;7;20;21;7;17;4;0;1;4;4;0
51;M-11934b-x40-01.tif;15;8;3;3;0;8;8;5;9;2;1;2;5;1;5;2;0;6;1;3;2;9;6;6;1;3;10;9;9;0;9;9;0;5;0;0;5;9;0
52;M-11934b-x40-05.tif;16;11;3;6;1;11;10;6;14;1;5;3;7;1;1;1;0;5;1;4;6;11;5;5;2;4;14;15;14;4;15;14;4;10;0;0;10;8;1
53;M-11934b-x40-06.tif;12;8;3;7;0;8;6;5;10;0;3;2;7;1;1;0;0;5;0;6;3;10;5;5;1;4;11;11;11;1;11;11;1;5;0;0;5;6;0
54;M-11940-x40-03.tif;11;8;1;4;0;8;7;1;10;0;2;2;4;0;4;1;0;3;0;4;3;10;0;3;0;5;9;10;10;0;10;10;0;9;1;0;9;0;0
55;M-11940-x40-04.tif;14;9;0;2;0;9;6;2;13;0;5;0;4;0;3;1;0;3;0;10;2;11;0;5;0;8;12;12;13;2;12;13;1;9;0;0;9;2;2
56;M-11940-x40-07.tif;23;15;1;3;0;15;8;3;21;0;7;0;11;0;4;2;0;8;0;12;0;21;0;9;0;12;17;11;19;0;10;17;0;7;0;0;7;2;0
57;M-11940-x40-08.tif;21;21;0;1;0;21;18;0;16;0;6;0;7;0;4;3;0;5;0;6;1;16;0;6;0;7;20;20;17;4;20;17;3;8;0;1;8;0;0
58;M-11940-x40-09.tif;26;21;1;10;2;21;13;1;24;0;9;0;11;0;9;2;0;7;0;10;4;23;0;7;0;9;22;21;21;6;21;21;5;9;0;1;9;0;0
59;M-11940-x40-10.tif;21;17;1;5;1;17;11;1;18;0;4;0;6;0;5;1;0;3;0;3;1;15;0;3;0;4;17;19;13;3;19;13;2;10;0;1;10;0;0
60;M-11940-x40-11.tif;32;16;0;5;1;16;9;1;18;1;9;1;10;0;9;0;0;12;0;14;6;19;0;12;0;14;14;13;13;8;13;12;8;7;3;0;7;2;2

;;;22,3;21,3;21,53333333;0,916666667;22,3;14,48333333;22,65;34,55;7,733333333;2,833333333;12,71666667;17,96666667;6,416666667;15,11666667;4,283333333;0;19,15;4,733333333;19,41666667;3,783333333;23,11666667;16,5;19,31666667;6,533333333;18,11666667;22,88333333;26,23333333;23,18333333;3,316666667;24,33333333;21,61666667;2,566666667;32,63333333;0,066666667;0,783333333;31,61666667;28,36666667;0,816666667
